family,setting,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,operating_confidence_for_PRF1,matching_iou_for_PRF1,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1
baseline_reproduction,frozen_raw_predictions,0.001,none,300,0.25,0.5,52039,260.195,0.2472969640240139,0.45633978269859576,0.2308790982251123,0.24643321406412058,0.40829110580934397,0.456133303402469,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149
confidence,conf_0.001,0.001,none,300,0.001,0.5,52039,260.195,0.2472969640240139,0.45633978269859576,0.2308790982251123,0.24643321406412058,0.40829110580934397,0.456133303402469,2552,49487,515,0.049040142969695805,0.8320834691881317,0.09262149312234601
confidence,conf_0.050,0.05,none,300,0.05,0.5,32588,162.94,0.24703997086387489,0.4559330831295224,0.23056859169813532,0.24643321406412058,0.4048279023461405,0.4442238555668016,2509,30079,558,0.07699153062476985,0.818063253994131,0.14073762445659796
confidence,conf_0.100,0.1,none,300,0.1,0.5,13380,66.9,0.2457089676351701,0.45288256414981687,0.22937352706630812,0.2429700106009171,0.3905787335014719,0.4205785678678696,2353,11027,714,0.1758594917787743,0.7671992174763612,0.2861312093390892
confidence,conf_0.200,0.2,none,300,0.2,0.5,4730,23.65,0.2324851865327124,0.4208853659369613,0.22073185849273183,0.2130258849591171,0.3280223131738948,0.34215115078632224,1998,2732,1069,0.42241014799154336,0.651450929246821,0.5125048095421317
confidence,conf_0.250,0.25,none,300,0.25,0.5,3516,17.58,0.2295449757438548,0.41100019065884147,0.2195675673408889,0.2126936590454958,0.32198896189568205,0.3328437815767871,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149
confidence,conf_0.350,0.35,none,300,0.35,0.5,2292,11.46,0.20785332024576503,0.3582192455134341,0.20838753276587557,0.17991893660667543,0.2664532328345561,0.2707452691625624,1590,702,1477,0.693717277486911,0.5184219106618846,0.5933942899794737
confidence,conf_0.500,0.5,none,300,0.5,0.5,1540,7.7,0.1811656673189818,0.29158486710114784,0.186455986365614,0.15172452908854853,0.2167377883639723,0.21783127858011245,1271,269,1796,0.8253246753246753,0.4144114770133681,0.5517690471022357
maxdet,top_50,0.001,none,50,0.25,0.5,10000,50.0,0.2440829283010045,0.4481632597264574,0.2277825635369139,0.2393985820294885,0.378177217959478,0.3994827905503856,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149
maxdet,top_100,0.001,none,100,0.25,0.5,20000,100.0,0.24620232555730595,0.4540914347487672,0.2301219282389786,0.24643321406412058,0.3959194054283035,0.42828123228287873,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149
maxdet,top_300,0.001,none,300,0.25,0.5,52039,260.195,0.2472969640240139,0.45633978269859576,0.2308790982251123,0.24643321406412058,0.40829110580934397,0.456133303402469,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149
external_nms,nms_none,0.001,none,300,0.25,0.5,52039,260.195,0.2472969640240139,0.45633978269859576,0.2308790982251123,0.24643321406412058,0.40829110580934397,0.456133303402469,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149
external_nms,nms_0.45,0.001,0.45,300,0.25,0.5,33330,166.65,0.2445804167256079,0.45609186766167026,0.2252928295136552,0.24643321406412058,0.3973825350905938,0.4234868353940086,1821,1386,1246,0.567820392890552,0.5937398108901206,0.5804909148868346
external_nms,nms_0.55,0.001,0.55,300,0.25,0.5,38225,191.125,0.24706219929487444,0.4598085690547219,0.2276869174473242,0.24643321406412058,0.403327217476516,0.4367208540201491,1852,1480,1215,0.5558223289315727,0.6038474078904467,0.5788404438193467
external_nms,nms_0.65,0.001,0.65,300,0.25,0.5,42222,211.11,0.24765019547928818,0.45945246397766815,0.23026429753591632,0.24643321406412058,0.40639314597704274,0.44627897517297227,1861,1548,1206,0.54590789087709,0.6067818715357026,0.5747374922791847
