profile,confidence_floor,external_class_aware_nms_iou,per_image_max_detections,retained_predictions,avg_retained_detections_per_image,mAP_50_95,AP50,AP75,AR1,AR10,AR100,TP,FP,FN,precision,recall,F1,operating_confidence_for_PRF1,matching_iou_for_PRF1
raw_baseline,0.001,none,300,52039,260.195,0.2472969640240139,0.45633978269859576,0.2308790982251123,0.24643321406412058,0.40829110580934397,0.456133303402469,2552,49487,515,0.049040142969695805,0.8320834691881317,0.09262149312234601,0.001,0.5
conf025_no_nms,0.25,none,100,3516,17.58,0.2295449757438548,0.41100019065884147,0.2195675673408889,0.2126936590454958,0.32198896189568205,0.3328437815767871,1866,1650,1201,0.5307167235494881,0.6084121291164004,0.5669147804952149,0.25,0.5
conf025_nms045,0.25,0.45,100,3207,16.035,0.22707149328595666,0.4070928716889855,0.2171711026044677,0.2126936590454958,0.3194321079803106,0.32656638607479516,1821,1386,1246,0.567820392890552,0.5937398108901206,0.5804909148868346,0.25,0.5
conf025_nms055,0.25,0.55,100,3332,16.66,0.22860081553071826,0.40972432329049807,0.2181491474991191,0.2126936590454958,0.3205088456380465,0.33025478268472863,1852,1480,1215,0.5558223289315727,0.6038474078904467,0.5788404438193467,0.25,0.5
conf025_nms065,0.25,0.65,100,3409,17.045,0.22917206227671783,0.41176885461664053,0.21856350546568906,0.2126936590454958,0.32104391130826004,0.331412333238217,1861,1548,1206,0.54590789087709,0.6067818715357026,0.5747374922791847,0.25,0.5
conf035_no_nms,0.35,none,100,2292,11.46,0.20785332024576503,0.3582192455134341,0.20838753276587557,0.17991893660667543,0.2664532328345561,0.2707452691625624,1590,702,1477,0.693717277486911,0.5184219106618846,0.5933942899794737,0.35,0.5
conf035_nms045,0.35,0.45,100,2219,11.095,0.20664757215135893,0.35663510776062457,0.20723246053257935,0.17991893660667543,0.26431506644063035,0.26793445510925806,1572,647,1495,0.708427219468229,0.5125529833713727,0.5947786606129398,0.35,0.5
conf035_nms055,0.35,0.55,100,2245,11.225,0.20776455058408796,0.3585821318070218,0.2079656728722951,0.17991893660667543,0.2658269374473906,0.26997829082361285,1588,657,1479,0.7073496659242762,0.5177698076296054,0.5978915662650601,0.35,0.5
conf035_nms065,0.35,0.65,100,2264,11.32,0.20773328960193277,0.35849806340402673,0.20796069672667095,0.17991893660667543,0.26585931294505366,0.2700810077971679,1589,675,1478,0.7018551236749117,0.5180958591457451,0.5961358094166198,0.35,0.5
